Excel representation	symbol converted	official symbol	ambiguous
3-Feb	FEB3	SCN1A	False
4-Feb	FEB4	ADGRV1	False
1-Mar	MARC1	MTARC1	True
1-Mar	MARCH1	MARCHF1	True
1-Mar	Mar1	RTL1	True
2-Mar	MARC2	MTARC2	True
2-Mar	MARCH2	MARCHF2	True
2-Mar	Mar2	PEG10	True
3-Mar	MARCH3	MARCHF3	True
3-Mar	Mar3	RTL3	True
4-Mar	MARCH4	MARCHF4	True
4-Mar	Mar4	RTL4	True
5-Mar	MARCH5	MARCHF5	True
5-Mar	Mar5	RTL5	True
6-Mar	MARCH6	MARCHF6	True
6-Mar	Mar6	RTL6	True
7-Mar	MARCH7	MARCHF7	True
7-Mar	Mar7	LDOC1	True
8-Mar	MARCH8	MARCHF8	True
8-Mar	Mar8	RTL8C	True
9-Mar	MARCH9	MARCHF9	True
9-Mar	Mar9	RTL9	True
10-Mar	MARCH10	MARCHF10	False
11-Mar	MARCH11	MARCHF11	False
1-Apr	APR1	MAGEH1	False
2-Apr	APR-2	FAM215A	False
3-Apr	APR3	ATRAID	False
5-Apr	APR-5	DDX54	False
1-Sep	SEP1	XRN1	True
1-Sep	SEPT1	SEPTIN1	True
2-Sep	SEP2	SEPTIN6	True
2-Sep	SEP2	SEPTIN8	True
2-Sep	SEPT2	SEPTIN2	True
2-Sep	SEPT2	SEPTIN6	True
3-Sep	SEP3	SEPTIN3	False
3-Sep	SEPT3	SEPTIN3	False
4-Sep	SEPT4	SEPTIN4	False
5-Sep	SEPT5	SEPTIN5	False
6-Sep	SEPT6	SEPTIN6	False
7-Sep	SEPT7	SEPTIN7	False
8-Sep	SEPT8	SEPTIN8	False
9-Sep	SEPT9	SEPTIN9	False
15-Sep	SEP15	SELENOF	False
10-Sep	SEPT10	SEPTIN10	False
11-Sep	SEPT11	SEPTIN11	False
12-Sep	SEPT12	SEPTIN12	False
13-Sep	SEPT13	SEPTIN7P2	False
14-Sep	SEPT14	SEPTIN14	False
Sep-53	SEP53	CRNN	False
1-Oct	OCT1	POU2F1	True
1-Oct	OCT1	SLC22A1	True
11-Oct	OCT11	POU2F3	False
2-Oct	OCT2	POU2F2	True
2-Oct	OCT2	SLC22A2	True
3-Oct	OCT3	POU5F1	True
3-Oct	OCT3	SLC22A3	True
4-Oct	Oct4	POU5F1	False
6-Oct	OCT6	POU3F1	False
7-Oct	OCT7	POU3F2	False
1-Nov	NOV1	C11orf40	False
1-Dec	DEC1	BHLHE40	True
1-Dec	DEC1	DELEC1	True
2-Dec	DEC2	BHLHE41	False
Dec-205	DEC-205	LY75	False
